X1,word,lang,poet,century,text
18186,امان,fa,مهدی اخوان ثالث,14,امان
10163,تقدیرم؟,ar,مهدی اخوان ثالث,14,تقدیرم؟
3421,می‌بارید,fa,مهدی اخوان ثالث,14,می‌بارید
13598,ست,fa,مهدی اخوان ثالث,14,ست
2627,گورهای,fa,مهدی اخوان ثالث,14,گورهای
8305,مانده،,fa,مهدی اخوان ثالث,14,مانده،
10221,می‌کنم،,fa,مهدی اخوان ثالث,14,می‌کنم،
5817,اره,fa,مهدی اخوان ثالث,14,اره
8157,افسانه,fa,مهدی اخوان ثالث,14,افسانه
13443,اره‌های,fa,مهدی اخوان ثالث,14,اره‌های
16265,لبخند,ar,مهدی اخوان ثالث,14,لبخند
11636,نهاد,fa,مهدی اخوان ثالث,14,نهاد
2634,خانه,fa,مهدی اخوان ثالث,14,خانه
2684,خدا,fa,مهدی اخوان ثالث,14,خدا
13523,کولاک,fa,مهدی اخوان ثالث,14,کولاک
9599,مستی,ar,مهدی اخوان ثالث,14,مستی
5732,افتاده,fa,مهدی اخوان ثالث,14,افتاده
16334,نهانی,fa,مهدی اخوان ثالث,14,نهانی
2010,آلود,fa,مهدی اخوان ثالث,14,آلود
1613,پهن,fa,مهدی اخوان ثالث,14,پهن
17759,سال,fa,مهدی اخوان ثالث,14,سال
2248,پنهان,fa,مهدی اخوان ثالث,14,پنهان
7509,زهر,fa,مهدی اخوان ثالث,14,زهر
16884,ست,fa,مهدی اخوان ثالث,14,ست
1783,پاک,fa,مهدی اخوان ثالث,14,پاک
5155,مسکین,fa,مهدی اخوان ثالث,14,مسکین
15660,خوار,fa,مهدی اخوان ثالث,14,خوار
18265,برد,fa,مهدی اخوان ثالث,14,برد
9529,شاباش,fa,مهدی اخوان ثالث,14,شاباش
6010,مرد,fa,مهدی اخوان ثالث,14,مرد
14282,غمگین,fa,مهدی اخوان ثالث,14,غمگین
14688,بیشهٔ,fa,مهدی اخوان ثالث,14,بیشهٔ
2731,ازین,fa,مهدی اخوان ثالث,14,ازین
6593,سقف‌هایی,ar,مهدی اخوان ثالث,14,سقف‌هایی
12570,مطبوع,ar,مهدی اخوان ثالث,14,مطبوع
10554,تکرار,fa,مهدی اخوان ثالث,14,تکرار
7943,دست,fa,مهدی اخوان ثالث,14,دست
16062,او،,fa,مهدی اخوان ثالث,14,او،
11660,بیداد،,fa,مهدی اخوان ثالث,14,بیداد،
3288,سرشار,fa,مهدی اخوان ثالث,14,سرشار
3207,بارش,fa,مهدی اخوان ثالث,14,بارش
5834,دارندگانش,fa,مهدی اخوان ثالث,14,دارندگانش
4813,غریب,ar,مهدی اخوان ثالث,14,غریب
14622,مرده,fa,مهدی اخوان ثالث,14,مرده
11006,دل,fa,مهدی اخوان ثالث,14,دل
1298,مردار,fa,مهدی اخوان ثالث,14,مردار
